subsection,Distance Left Bank meters,feet,Depth ,clicks .8,seconds .8,fps.8,clicks .6,seconds .6,fps.6,clicks.2,seconds.2,fps.2,Width Interval,Area,3 point,Q internal,% total,Site
1,0,0,0,0,0,0,0,0,0,0,0,0,6.56168,0,0,0,0,KLM
2,2,6.56,0,0,0,0,0,0,0,0,0,0,6.56168,0,0,0,0,KLM
3,4,13.12,5.6,0,0,0,0,0,0,0,0,0,13.12336,73.490816,0,0,0,KLM
4,8,26.24,6.9,28,40,1.56116,30,30,2.2226,37,30,2.737053333,6.56168,45.275592,2.185853333,98.96580369,6.865238514,KLM
5,10,32.8,6,43,45,2.124608889,30,30,2.2226,43,30,3.178013333,6.56168,39.37008,2.436955556,95.94313518,6.655556589,KLM
6,12,39.36,6.95,38,30,2.810546667,36,30,2.66356,50,30,3.692466667,6.56168,45.603676,2.957533333,134.8743919,9.356210279,KLM
7,14,45.92,6.6,30,16,4.1518,41,30,3.031026667,56,30,4.133426667,6.56168,43.307088,3.58682,155.3347294,10.7755399,KLM
8,16,52.48,7.3,49,30,3.618973333,60,30,4.4274,59,30,4.353906667,6.56168,47.900264,4.20692,201.5125786,13.97888831,KLM
9,18,59.04,6.9,20,30,1.487666667,33,30,2.44308,59,30,4.353906667,6.56168,45.275592,2.681933333,121.4261194,8.423306235,KLM
10,20,65.6,6,25,30,1.855133333,40,30,2.957533333,53,30,3.912946667,6.56168,39.37008,2.920786667,114.9916047,7.976945209,KLM
11,22,72.16,4.5,32,30,2.369586667,51,30,3.76596,51,30,3.76596,6.56168,29.52756,3.416866667,100.8917355,6.998840029,KLM
12,24,78.72,4.6,26,30,1.928626667,32,30,2.369586667,47,30,3.471986667,6.56168,30.183728,2.534946667,76.51414068,5.307771027,KLM
13,26,85.28,4.7,20,30,1.487666667,27,45,1.34068,37,30,2.737053333,6.56168,30.839896,1.72652,53.24569724,3.69364364,KLM
14,28,91.84,4.55,16,30,1.193693333,24,30,1.78164,38,30,2.810546667,6.56168,29.855644,1.89188,56.48329577,3.918235219,KLM
15,30,98.4,3.3,26,30,1.928626667,32,30,2.369586667,36,30,2.66356,6.56168,21.653544,2.33284,50.51425358,3.504163926,KLM
16,32,104.96,3,27,35,1.718645714,26,30,1.928626667,22,30,1.634653333,6.56168,19.68504,1.802638095,35.48500301,2.461587743,KLM
17,34,111.52,2.9,34,45,1.683648889,24,30,1.78164,27,30,2.00212,6.56168,19.028872,1.812262222,34.48530586,2.392238946,KLM
18,36,118.08,2.6,12,30,0.89972,18,30,1.34068,22,30,1.634653333,6.56168,17.060368,1.303933333,22.24558251,1.543171723,KLM
19,38,124.64,2.9,8,30,0.605746667,12,30,0.89972,18,35,1.151697143,6.56168,19.028872,0.889220952,16.92087168,1.173797571,KLM
20,40,131.2,2.8,11,30,0.826226667,20,50,0.89972,20,35,1.277685714,26.24672,73.490816,0.975838095,71.7151379,4.974865139,KLM
1,4,13.12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I5
2,6,19.68504,1.6,24,30,1.78164,28,30,2.075613333,30,30,2.2226,6.56168,10.498688,2.038866667,21.40542501,1.728005016,I5
3,8,26.24672,2.5,14,30,1.046706667,25,30,1.855133333,41,30,3.031026667,6.56168,16.4042,1.947,31.9389774,2.578351662,I5
4,10,32.8084,2,41,30,3.031026667,43,30,3.178013333,44,30,3.251506667,6.56168,13.12336,3.15964,41.46509319,3.347370537,I5
5,12,39.37008,3,19,30,1.414173333,30,30,2.2226,43,30,3.178013333,6.56168,19.68504,2.259346667,44.47532951,3.590379188,I5
6,14,45.93176,3.8,44,30,3.251506667,51,30,3.76596,55,30,4.059933333,6.56168,24.934384,3.71084,92.52750952,7.469508336,I5
7,16,52.49344,5.3,43,30,3.178013333,49,30,3.618973333,64,30,4.721373333,6.56168,34.776904,3.784333333,131.607397,10.62432734,I5
8,18,59.05512,5.3,43,30,3.178013333,56,30,4.133426667,63,30,4.64788,6.56168,34.776904,4.023186667,139.9139765,11.29489618,I5
9,20,65.6168,5.3,60,30,4.4274,61,30,4.500893333,75,30,5.5298,6.56168,34.776904,4.739746667,164.8337148,13.30660269,I5
10,22,72.17848,5.1,55,30,4.059933333,62,30,4.574386667,75,30,5.5298,6.56168,33.464568,4.684626667,156.7690076,12.65555958,I5
11,24,78.74016,4.9,46,30,3.398493333,57,30,4.20692,63,30,4.64788,6.56168,32.152232,4.115053333,132.3081495,10.68089729,I5
12,26,85.30184,4.4,48,30,3.54548,60,30,4.4274,58,30,4.280413333,6.56168,28.871392,4.170173333,120.398709,9.719478729,I5
13,28,91.86352,4,33,30,2.44308,41,30,3.031026667,46,30,3.398493333,6.56168,26.24672,2.975906667,78.10778903,6.305441315,I5
14,30,98.4252,2.7,33,30,2.44308,37,30,2.737053333,40,30,2.957533333,6.56168,17.716536,2.71868,48.16559209,3.888284614,I5
15,32,104.98688,2.7,21,30,1.56116,27,30,2.00212,31,30,2.296093333,6.56168,17.716536,1.965373333,34.81960741,2.810897529,I5
16,34,111.54856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I5
1,2,6.56168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOH
2,4,13.12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOH
3,6,19.68504,1.2,35,30,2.590066667,39,32,2.7049,35,30,2.590066667,6.56168,7.874016,2.647483333,20.84632613,0.016055421,TOH
4,8,26.24672,1.7,48,35,3.041525714,55,30,4.059933333,38,30,2.810546667,6.56168,11.154856,3.492984762,38.96374203,0.03000909,TOH
5,10,32.8084,2.4,41,30,3.031026667,43,30,3.178013333,50,30,3.692466667,6.56168,15.748032,3.26988,51.49417488,0.039659778,TOH
6,12,39.37008,3,34,30,2.516573333,40,30,2.957533333,62,30,4.574386667,6.56168,19.68504,3.251506667,64.00603879,0.049296164,TOH
7,14,45.93176,3.5,30,30,2.2226,40,30,2.957533333,69,30,5.08884,6.56168,22.96588,3.306626667,75.93959123,0.058487146,TOH
8,16,52.49344,3.5,40,30,2.957533333,49,30,3.618973333,54,30,3.98644,6.56168,22.96588,3.54548,81.42506822,0.06271195,TOH
9,18,59.05512,4,40,30,2.957533333,51,30,3.76596,74,35,4.679377143,6.56168,26.24672,3.792207619,99.53301156,0.076658323,TOH
10,20,65.6168,3.7,37,30,2.737053333,58,30,4.280413333,63,30,4.64788,6.56168,24.278216,3.98644,96.78365139,0.074540821,TOH
11,22,72.17848,4.8,41,30,3.031026667,53,30,3.912946667,65,30,4.794866667,6.56168,31.496064,3.912946667,123.2424186,0.094918832,TOH
12,24,78.74016,5,59,30,4.353906667,79,30,5.823773333,73,30,5.382813333,6.56168,32.8084,5.346066667,175.3958936,0.135086389,TOH
13,26,85.30184,5.1,31,30,2.296093333,45,30,3.325,58,30,4.280413333,6.56168,33.464568,3.306626667,110.6548329,0.085224126,TOH
14,28,91.86352,5.4,50,30,3.692466667,57,30,4.20692,74,35,4.679377143,6.56168,35.433072,4.196420952,148.6920857,0.114519653,TOH
15,30,98.4252,5.6,36,30,2.66356,54,35,3.419491429,67,30,4.941853333,6.56168,36.745408,3.611099048,132.6913078,0.102196176,TOH
16,32,104.98688,2.9,34,35,2.159605714,50,31,3.573929032,42,30,3.10452,6.56168,19.028872,3.102995945,59.04651265,0.045476436,TOH
