Sample.ID,Chinook.c.ul,Chinook.c.uL.lower,Chinook.c.uL.upper,Chinook.c.well,Chinook.c.well.lower,Chinook.c.well.upper,C.shasta.c.uL,C.shasta.c.uL.lower,C.shasta.c.uL.upper,C.shasta.c.well,C.shasta.c.well.lower,C.shasta.c.well.upper,Accepted Droplets
BVR_DI_03,2.96,2.15,3.96,59.3,43,79.2,536,523,550,10726,10460,11000,16690
BVR_DI_06,3.75,2.77,4.93,75,55.4,98.6,812,793,831,16243,15860,16620,14772
BVR_DI_09,3.6,2.68,4.7,71.9,53.6,94,743,726,760,14859,14520,15200,16059
BVR_DI_12,2.1,1.44,2.93,41.9,28.8,58.6,279,270,288,5583,5400,5760,17422
BVR_FB_01,0,0,0.222,0,0,4.44,0.0742,0.00311,0.354,1.48,0.0622,7.08,15864
BVR_FB_01,0,0,0.237,0,0,4.74,0,0,0.237,0,0,4.74,14891
BVR_FB_01,0,0,0.23,0,0,4.6,3.41,2.49,4.52,68.1,49.8,90.4,15215
BVR_FB_02,0,0,0.217,0,0,4.34,0,0,0.217,0,0,4.34,16223
BVR_FB_03,0,0,0.212,0,0,4.24,0,0,0.212,0,0,4.24,16605
BVR_G_01,1.17,0.672,1.87,23.4,13.44,37.4,288,278,298,5755,5560,5960,15067
BVR_G_02,0.707,0.337,1.28,14.1,6.74,25.6,157,149,164,3132,2980,3280,14974
BVR_G_03,2.78,1.9,3.9,55.6,38,78,735,716,754,14697,14320,15080,12714
BVR_G_04,0,0,0.255,0,0,5.1,155,147,162,3092,2940,3240,13812
BVR_G_05,3.44,2.53,4.55,68.8,50.6,91,524,510,538,10477,10200,10760,15417
BVR_G_06,5.27,4.04,6.74,105,80.8,134.8,702,684,720,14040,13680,14400,13192
BVR_G_07,5.83,4.57,7.3,117,91.4,146,764,746,783,15284,14920,15660,14362
BVR_G_08,2.76,1.94,3.78,55.2,38.8,75.6,594,579,610,11889,11580,12200,14935
BVR_G_09,3.17,2.24,4.33,63.5,44.8,86.6,440,427,454,8806,8540,9080,13360
BVR_G_10,3.09,2.12,4.31,61.8,42.4,86.2,316,305,328,6330,6100,6560,11820
BVR_G_11,2.09,1.22,3.3,41.9,24.4,66,633,613,654,12664,12260,13080,8993
BVR_G_12,3.64,2.61,4.91,72.8,52.2,98.2,117,111,124,2349,2220,2480,12632
BVR_G_13,0.516,0.219,1.01,10.3,4.38,20.2,273,264,282,5459,5280,5640,15961
